case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_089,5,139048,954880,139048,954880,0.0
case_090,1,1178363,21233592,1178363,21233592,0.0
case_090,2,601447,13501824,471121,12492672,0.8309245190132787
case_090,3,395863,9327360,315353,9326592,0.7266926994033331
case_090,4,272778,6821760,227764,7073664,0.6564516302477632
case_090,5,279869,9330432,217378,9331968,0.4891206095041322
case_091,1,9186769,53947008,9168820,53947008,0.10538579237748164
case_091,2,4597574,47462016,4592442,47194752,0.1808673341766543
case_091,3,3096231,34078944,3084055,34078944,0.4331074442545621
case_091,4,2325462,33141060,2313031,33582244,0.47027464102937544
case_091,5,1851494,44166816,1838217,43710624,0.38155459966150906
case_092,1,4815554,66000096,4333631,66000096,0.7935495964003455
case_092,2,2713229,66108064,2286321,66421856,0.7670694150337164
case_092,3,1951164,66555392,1571720,66555392,0.7523384780562544
case_092,4,1672822,67002752,1396483,67219808,0.706650385563001
case_092,5,1058375,39271232,860752,39604576,0.7934322670560774
case_093,1,74205,0,74205,0,0.0
case_093,2,37827,8192,37827,8192,0.0
case_093,3,25301,57344,25301,57344,0.0
case_093,4,19254,282624,19242,221184,0.026470588235294117
case_093,5,15876,32768,15876,32768,0.0
case_094,1,94892,0,94892,0,0.0
case_094,2,38659,230688,38659,230688,0.07273366127898806
case_094,3,28647,825416,28359,783688,0.2151569126727191
case_094,4,26798,316192,26798,316192,0.1342022586397215
case_094,5,19995,207648,19995,207648,0.1190291638407131
case_095,1,2084853,0,2084853,0,0.0
case_095,2,1042890,0,1042890,0,0.0
case_095,3,695775,0,695775,0,0.0
case_095,4,528831,36864,528831,36864,0.0
case_095,5,420852,0,420852,0,0.0
case_096,1,84194,0,84194,0,0.0
case_096,2,41959,57364,41959,57364,0.21427877465304507
case_096,3,30447,389148,30447,389148,0.4306016987590763
case_096,4,26601,713328,26131,776312,0.4456349784559023
case_096,5,20340,769388,19598,733804,0.48395907133544913
case_097,1,11491509,10584064,11491509,10584064,0.0
case_097,2,5497237,11821056,5557107,11796480,0.14387755102040817
case_097,3,3588775,15372288,3587840,15372288,0.31322628354109444
case_097,4,2624686,14438400,2621513,14438400,0.18436060539592017
case_097,5,2102140,21069824,2101714,21069824,0.3119236369519495
case_098,1,177430,0,177430,0,0.0
case_098,2,102886,196620,102886,196620,0.21979014584260267
case_098,3,60568,586060,60582,586052,0.3166138342727646
case_098,4,61188,1196348,60338,1155384,0.3230903320967237
case_098,5,59473,1246660,60655,1381812,0.34184753127999096
case_099,1,1622999,5484544,1618902,5484544,0.25235465023466686
case_099,2,807776,4108288,806369,4108288,0.5186355752553479
case_099,3,539310,3981772,539261,3981772,0.5140371038707197
case_099,4,415285,3997696,414567,3997696,0.5249088699878494
case_099,5,344341,4362240,342071,4399104,0.5695506074369484
case_100,1,151223,0,151223,0,0.0
case_100,2,68855,540608,69059,632768,0.24209176103905813
case_100,3,57307,170504,57307,170504,0.2735141944185218
case_100,4,50721,333636,50721,333636,0.29827732997202594
case_100,5,55228,542764,55019,542764,0.5210248194632326
